,User,Name,Chain,Value
92,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,Nexon Finance,era,5.3057648412095615
93,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,SpaceFi,era,8.132143872207276
94,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,SyncSwap,era,8.678536246974026
95,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,Multichain,ftm,2.5580000000000003
96,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,Stargate,matic,23.059659650105246
97,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,Synapse,matic,9.001938341155606
98,0xf7E9b544bB290Dfae7B07fEfFc7AdFA6010bA01F,Synapse,metis,0.041896953783998284
99,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Arbswap,arb,38.564938036180024
100,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Dopex,arb,52.4967413721
101,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Hop Protocol,arb,33.88508500571515
102,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Radiant Capital,arb,104.58004425923299
103,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Vela,arb,208.64403819336863
104,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Mute.io,era,115.83215010388493
105,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,SpaceFi,era,117.10854733430511
106,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,SyncSwap,era,122.37492841940312
107,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,LIDO,eth,214.18308443640612
108,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Atlendis,matic,15.015790622601092
109,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Arbswap,nova,38.51097277383474
110,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,RCPswap,nova,91.27079948610341
111,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Clipper,op,35.80235899436465
112,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Pika Protocol,op,0.1319274026434853
113,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Polynomial,op,5.601899503769458e-05
114,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Synapse,op,0.4715151602725873
115,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,QuickSwap,pze,53.0940578173864
116,0xfcA9895a7dd0545C3D648f7EF235E546053946Ca,Stargate,eth,26.68701977347236
117,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Aave V3,arb,10.802449653325583
118,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Balancer V2,arb,26.774711580288713
119,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Beefy,arb,1.7999741207828928
120,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Camelot,arb,5.7500570686322945
121,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Cryptex,arb,6.283590000000001
122,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Curve,arb,4.015023775338518
123,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Dopex,arb,25.189246794891027
124,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Elk,arb,1.080340309872246
125,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,GMX,arb,53.93794927753847
126,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Hop Protocol,arb,68.16593123106261
127,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Jones DAO,arb,11.309349221619224
128,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Mean Finance,arb,3.4408802747472964
129,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Multichain,arb,1452.0175356709153
130,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Olive,arb,2.0804792017995113
131,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,PlutusDAO,arb,4.803704921245583
132,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Radiant Capital,arb,10.061728287200001
133,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Radiant Capital V2,arb,10.764540306609575
134,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Sentiment,arb,1.3692243407032134
135,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Silo,arb,2.846797573333118
136,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Stargate,arb,25.08862285501186
137,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,SushiSwap,arb,14.6116531351085
138,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Umami Finance,arb,19.513368489397585
139,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Uniswap V3,arb,14.542885113224001
140,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Vela,arb,491.07807195927796
141,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Vesta Finance,arb,3.9382583340920445
142,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Yield Protocol,arb,0.9991539514
143,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Aave V3,avax,5.52240349263279
144,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Beefy,avax,2.4361805015040665
145,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,BENQI,avax,4.550147140233415
146,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Curve,avax,0.9603335523832196
147,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,GMX,avax,2.019959234243898
148,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Hashflow,avax,1.0008499965005773
149,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Hurricane Swap,avax,0.005773981104292821
150,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Ribbon,avax,3.5298676046068644
151,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Trader Joe,avax,3.4507957628799844
152,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,PancakeSwap,bsc,1.715424680199513
153,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Pandora,bsc,1.752575068584661
154,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Nexon Finance,era,23.806388963316365
155,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,SpaceFi,era,8.349003840363181
156,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,SyncSwap,era,9.700888429572608
157,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,LooksRare,eth,1.1220785755424625
158,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,0VIX,matic,2.1908834793571508
159,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Aave,matic,0.058612750766003
160,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Aave V3,matic,27.52631457744034
161,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Balancer V2,matic,12.39801008173153
162,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Beefy,matic,2.600061316112177
163,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,CIAN,matic,0.9947227963
164,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Curve,matic,11.214207600230173
165,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,KyberSwap,matic,0.5076098807023921
166,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,HaloFi,matic,2.0945300000000002
167,0x2410f0496848D8bF914bEC3941349122eb2fd6f0,Hop Protocol,matic,23.089287258576707
